"id";"seed_id";"cited_paper_id";"is_influential"
855;6;791;1
860;6;796;0
861;6;797;0
862;6;798;0
864;6;800;0
865;6;801;1
867;6;803;1
870;6;806;0
871;6;807;0
872;6;808;0
873;6;809;1
874;6;476;0
876;6;811;0
878;6;813;0
880;6;814;1
881;6;815;0
882;6;105;0
885;6;818;0
886;6;819;0
892;6;824;0
895;6;827;0
902;6;833;0
907;6;770;0
932;7;584;1
934;7;594;0
935;7;860;0
937;7;861;0
938;7;449;0
939;7;617;0
941;7;455;0
942;7;620;0
943;7;624;0
944;7;863;0
945;7;864;1
946;7;865;0
947;7;468;1
950;7;868;0
952;7;482;1
953;7;485;1
955;7;871;0
959;7;875;1
963;7;879;0
978;893;894;0
979;893;895;0
1034;950;951;0
1035;950;952;0
1036;950;953;1
1037;950;954;0
1038;950;955;1
1039;950;956;0
1042;950;959;1
1043;950;960;1
1044;950;961;1
1045;950;962;1
1047;950;964;0
1048;950;965;1
1049;950;966;0
1050;950;967;0
1053;950;970;1
1054;950;971;0
1055;950;748;0
1056;950;972;1
1057;950;973;1
1058;950;974;1
1059;950;975;0
1060;950;976;0
1062;950;978;1
1063;950;979;0
1065;950;981;1
1066;950;982;0
1067;950;983;0
1068;950;984;0
1069;950;985;0
1070;950;986;0
1071;950;987;0
1072;950;988;1
1074;950;990;0
1076;950;992;0
1077;950;993;0
1078;950;994;0
1079;950;995;0
1080;950;996;1
1082;950;998;1
1083;950;999;1
1084;950;1000;0
1085;950;1001;0
1086;950;1002;1
1087;950;1003;0
1088;950;1004;0
1089;950;1005;0
1090;950;1006;0
1091;950;1007;1
1092;950;1008;1
1093;950;1009;1
1094;950;1010;0
1095;950;1011;0
1100;950;1016;0
1101;950;1017;0
1107;950;1023;0
1108;950;1024;0
1110;950;1026;0
1111;950;1027;0
1112;950;1028;0
1113;950;1029;0
1114;950;1030;0
1115;950;1031;0
1116;950;1032;0
1118;950;1034;0
1119;950;1035;0
1120;950;1036;0
1121;950;1037;0
1122;950;1038;0
1123;950;1039;0
1124;950;93;0
1125;950;1040;0
1126;950;1041;0
1128;950;1043;0
1129;950;1044;0
1130;950;1045;0
1131;950;1046;0
1133;950;1048;0
1134;950;1049;0
1135;950;1050;0
1138;950;1053;0
1140;950;1055;0
1142;950;1056;0
1143;950;1057;0
1144;950;1058;0
1145;950;1059;0
1146;950;1060;0
1147;950;1061;0
1148;950;1062;0
1149;950;1063;0
1150;950;1064;0
1151;950;1065;0
1152;950;1066;0
1154;950;1068;0
1155;950;1069;0
1156;950;1070;0
1157;950;1071;0
1171;950;770;0
1179;1090;1092;0
1180;1090;1093;1
1181;1090;1094;0
1182;1090;1095;1
1183;1090;1096;0
1184;1090;1097;0
1185;1090;1098;0
1187;1090;1100;0
1188;1090;1101;0
1189;1090;1102;0
1190;1090;1103;0
1191;1090;1104;0
1192;1090;1105;0
1193;1090;1106;0
1194;1090;1107;0
1195;1090;1108;0
1198;1090;1111;0
1200;1090;1113;0
1201;1090;1114;0
1202;1090;1115;0
1203;1090;1116;0
1204;1090;1117;0
1205;1090;1118;0
1206;1090;1119;0
1207;1090;1120;0
1208;1090;1121;0
1209;1090;1122;0
1210;1090;1123;0
1211;1090;1124;0
1214;1090;1127;0
1215;1090;1128;0
1216;1090;1129;1
1217;1090;1130;1
1219;1090;1132;0
1220;1090;1133;0
1222;1090;1135;0
1223;1090;1136;0
1224;1090;1137;1
1225;1090;1138;0
1226;1090;1139;0
1227;1090;1140;0
1231;1090;983;0
1232;1090;1144;0
1233;1090;1145;0
1234;1090;1146;0
1235;1090;1147;0
1237;1090;1149;0
1238;1090;1150;0
1239;1090;1151;1
1240;1090;1152;0
1242;1090;1154;0
1243;1090;1016;0
1244;1090;1155;0
1245;1090;1156;0
1247;1090;1158;0
1248;1090;1159;0
1249;1090;1034;0
1252;1090;1162;1
1253;1090;1163;0
1257;1090;1167;0
1258;1090;1168;0
1259;1090;1169;0
1260;1090;1170;0
1262;1090;1172;0
1263;1090;1173;1
1264;1090;1060;0
1279;1090;1188;0
1293;1090;770;0
1297;976;1206;0
1298;976;1207;0
1300;976;999;0
1301;976;1209;0
1302;976;1210;0
1305;976;1016;0
1307;976;1214;0
1308;976;1215;0
1311;976;1029;0
1313;976;1218;0
1315;976;1220;0
1318;976;93;0
1319;976;1223;0
1320;976;1224;0
1321;976;1225;0
1323;976;1227;0
1324;976;1228;0
1325;976;1229;0
